Time Series Search Export,Search term,Search filters,,Last update of Credit to the non-financial sector data,Downloaded at,Source,Source URL,Download URL,About Credit to the non-financial sector
,,,,2025-06-16,2025-06-23 17:56 CEST,BIS,"https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.RU.P.B.M.USD.A?","https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.RU.P.B.M.USD.A?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/TOTAL_CREDIT

DATAFLOW_ID,KEY,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2012-03-31,F,,A,833.663
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2012-06-30,F,,A,803.428
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2012-09-30,F,,A,895.529
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2012-12-31,F,,A,945.365
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2013-03-31,F,,A,962.295
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2013-06-30,F,,A,959.519
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2013-09-30,F,,A,1016.489
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2013-12-31,F,,A,1035.829
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2014-03-31,F,,A,998.191
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2014-06-30,F,,A,1066.629
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2014-09-30,F,,A,962.887
