block,date,med_leverage,lev_qoq
North America,1997 Q2,1.1742485529245836,0.004581647681922707
W. Europe,1997 Q2,1.1932864179232996,0.030897033584275757
Asia Pacific,1997 Q3,1.2328337303169548,0.009489660200094896
Central and E. Europe,1997 Q3,0.7339479593404064,0.0031919852322628284
Emerging Asia,1997 Q3,1.4241809721372385,0.02882315840294103
Latin America,1997 Q3,1.1810957644595792,-0.005652626923808857
ME/Africa,1997 Q3,1.1012973271876456,-0.010797925813913367
North America,1997 Q3,1.1765682098934436,0.0019754394953970245
W. Europe,1997 Q3,1.2163826325413585,0.019355130730687176
Asia Pacific,1997 Q4,1.244948986612486,0.009827161601440482
Central and E. Europe,1997 Q4,0.7050030468675468,-0.039437281764325816
Emerging Asia,1997 Q4,1.404941938825926,-0.013508840300289093
Latin America,1997 Q4,1.1870833709978363,0.005069535187941954
ME/Africa,1997 Q4,1.1002635036396762,-9.387324589350543e-4
North America,1997 Q4,1.1647673572883264,-0.010029892449827438
W. Europe,1997 Q4,1.2280062007720614,0.00955584856256797
Asia Pacific,1998 Q1,1.2711568513492495,0.021051356335551663
Central and E. Europe,1998 Q1,0.7476070000864855,0.060430878147599065
Emerging Asia,1998 Q1,1.3938133354124942,-0.007921041507759297
Latin America,1998 Q1,1.227232835678785,0.0338219417960508
ME/Africa,1998 Q1,1.0948974843109784,-0.004877031102955676
North America,1998 Q1,1.1707531137615994,0.005139014615938686
W. Europe,1998 Q1,1.2137820976709075,-0.011583087359177013
Asia Pacific,1998 Q2,1.274597805627129,0.0027069470413718655
Central and E. Europe,1998 Q2,0.7435642684922636,-0.005407562521156373
Emerging Asia,1998 Q2,1.3805650023221423,-0.00950509853346404
Latin America,1998 Q2,1.2403725927684173,0.010706816756874682
ME/Africa,1998 Q2,1.0999403700046226,0.0046058062657963195
North America,1998 Q2,1.1844827832308005,0.011727211576732843
W. Europe,1998 Q2,1.2269865923410803,0.010878801636233115
Asia Pacific,1998 Q3,1.2816093044464978,0.0055009500160867475
Central and E. Europe,1998 Q3,0.7215694153555017,-0.029580298662496562
Emerging Asia,1998 Q3,1.35272296059723,-0.020167135685810744
Latin America,1998 Q3,1.2636265022834268,0.018747519616753694
ME/Africa,1998 Q3,1.0862039526631109,-0.012488329109562546
North America,1998 Q3,1.1996896210533463,0.01283837809872379
W. Europe,1998 Q3,1.2407245634033148,0.011196512780162093
Asia Pacific,1998 Q4,1.293814393111428,0.009523252228729184
Central and E. Europe,1998 Q4,0.7038112422112505,-0.02461048482148065
Emerging Asia,1998 Q4,1.3399707828075609,-0.009427043201838625
Latin America,1998 Q4,1.1663341937113754,-0.07699451411967073
ME/Africa,1998 Q4,1.102684238095024,0.015172367391508068
North America,1998 Q4,1.2045311016714182,0.004035610988966543
W. Europe,1998 Q4,1.2226452056702948,-0.014571612641752107
Asia Pacific,1999 Q1,1.30231181142661,0.006567725912174138
Central and E. Europe,1999 Q1,0.7091469903151522,0.007581220338478412
Emerging Asia,1999 Q1,1.2670671868260133,-0.054406854923207404
Latin America,1999 Q1,1.1303571304474729,-0.030846273270459856
ME/Africa,1999 Q1,1.1044085887798585,0.001563775580771365
North America,1999 Q1,1.205174263103749,5.339517023996709e-4
W. Europe,1999 Q1,1.2236122374097986,7.909340624892014e-4
Asia Pacific,1999 Q2,1.3058176889371689,0.0026920415524132046
Central and E. Europe,1999 Q2,0.7172294833889338,0.01139748625343473
Emerging Asia,1999 Q2,1.1837150395290783,-0.06578352605415583
Latin America,1999 Q2,1.1116564445226758,-0.01654405092078648
ME/Africa,1999 Q2,1.122231312343234,0.016137798767995593
North America,1999 Q2,1.1921897537372503,-0.01077396834965505
W. Europe,1999 Q2,1.22260726563287,-8.213155656697779e-4
Asia Pacific,1999 Q3,1.275369832999874,-0.023317080320819583
Central and E. Europe,1999 Q3,0.7267406719220153,0.01326101164740301
Emerging Asia,1999 Q3,1.1881614947661578,0.0037563561233864284
Latin America,1999 Q3,1.1086463752995,-0.0027077333451417385
ME/Africa,1999 Q3,1.1110178999565092,-0.009992068714702818
North America,1999 Q3,1.211536934325514,0.01622827282956818
W. Europe,1999 Q3,1.217393395657571,-0.0042645501313947065
Asia Pacific,1999 Q4,1.2623602791710462,-0.010200612788705543
Central and E. Europe,1999 Q4,0.7228273233725222,-0.005384793641923791
Emerging Asia,1999 Q4,1.1598851919059838,-0.023798366623334344
Latin America,1999 Q4,1.0318714391272232,-0.06925105956490052
ME/Africa,1999 Q4,1.093992156607035,-0.015324454583621638
North America,1999 Q4,1.2110075900509525,-4.369196345270776e-4
W. Europe,1999 Q4,1.2226456647651402,0.004314356498321681
Asia Pacific,2000 Q1,1.266074995388386,0.002942675144832041
Central and E. Europe,2000 Q1,0.7376679191127097,0.020531315378263804
Emerging Asia,2000 Q1,1.1519295086710604,-0.006859026471275342
Latin America,2000 Q1,0.996812569943086,-0.03397600500871578
ME/Africa,2000 Q1,1.149198221981407,0.050462944401348464
North America,2000 Q1,1.1993230799721846,-0.00964858533898727
W. Europe,2000 Q1,1.2335329980970258,0.008904733109225793
Asia Pacific,2000 Q2,1.2377683695829451,-0.022357779680150403
Central and E. Europe,2000 Q2,0.7698611070720042,0.04364184360629042
Emerging Asia,2000 Q2,1.146785485360589,-0.004465571262607715
Latin America,2000 Q2,0.9742667661386272,-0.022617896768442725
ME/Africa,2000 Q2,1.1507985020111051,0.0013925187135592765
North America,2000 Q2,1.2201460994546405,0.017362310315031104
W. Europe,2000 Q2,1.245949135276302,0.0100655087447441
Asia Pacific,2000 Q3,1.263577167203937,0.020851072183794894
Central and E. Europe,2000 Q3,0.7734353147264718,0.004642665568677984
Emerging Asia,2000 Q3,1.040498518595432,-0.0926825183279475
Latin America,2000 Q3,0.9964813969529052,0.022801384165368477
ME/Africa,2000 Q3,1.1632723040476796,0.010839258145344699
North America,2000 Q3,1.2066446136078806,-0.011065466547649172
W. Europe,2000 Q3,1.2862950893418237,0.03238170236907356
Asia Pacific,2000 Q4,1.268546190585078,0.003932504883842114
Central and E. Europe,2000 Q4,0.7453662513742016,-0.03629141677115799
Emerging Asia,2000 Q4,1.015637020463286,-0.02389383328071093
Latin America,2000 Q4,0.927006973486157,-0.06971973955478827
ME/Africa,2000 Q4,1.1596499762342458,-0.003113912194788515
North America,2000 Q4,1.2068996115914503,2.1132815801272464e-4
W. Europe,2000 Q4,1.3123897092964998,0.020286651306449688
Asia Pacific,2001 Q1,1.2665968057124903,-0.0015367078369361575
Central and E. Europe,2001 Q1,0.7255858394255559,-0.026537842184533367
Emerging Asia,2001 Q1,1.00638116958434,-0.009113345311816068
Latin America,2001 Q1,0.9180838601499608,-0.009625724068330843
ME/Africa,2001 Q1,1.1697209235394954,0.008684471617852463
North America,2001 Q1,1.192465160292629,-0.011959943611041135
W. Europe,2001 Q1,1.3082292509809172,-0.003170139392370541
Asia Pacific,2001 Q2,1.2511145369814227,-0.012223517903440895
Central and E. Europe,2001 Q2,0.7207583385660473,-0.0066532456908620086
Emerging Asia,2001 Q2,1.021955002931405,0.01547508421038657
Latin America,2001 Q2,0.9206751380051116,0.002822484924990931
ME/Africa,2001 Q2,1.1712057865404666,0.001269416466004536
North America,2001 Q2,1.1805265983755515,-0.010011665174475937
W. Europe,2001 Q2,1.3040687926653347,-0.0031802211366723787
Asia Pacific,2001 Q3,1.2503791319111883,-5.877999563562719e-4
Central and E. Europe,2001 Q3,0.7003999122241251,-0.02824584226444804
Emerging Asia,2001 Q3,1.1153054179065265,0.0913449366237773
Latin America,2001 Q3,0.9299921467542324,0.010119757083164593
ME/Africa,2001 Q3,1.175667765962518,0.0038097313668774557
North America,2001 Q3,1.1791924329147836,-0.001130144346263573
W. Europe,2001 Q3,1.308029821172684,0.0030374383081841483
Asia Pacific,2001 Q4,1.2337933143602142,-0.013264630804916688
Central and E. Europe,2001 Q4,0.6913936094352315,-0.012858800567655648
Emerging Asia,2001 Q4,1.0092915862137226,-0.09505363283520685
Latin America,2001 Q4,1.016157081700661,0.09265125006394204
ME/Africa,2001 Q4,1.2045622033459829,0.024577043123921172
North America,2001 Q4,1.157899770317378,-0.01805698714057513
W. Europe,2001 Q4,1.301966149431587,-0.004635728974176301
Asia Pacific,2002 Q1,1.1969769601332376,-0.029839968978975895
Central and E. Europe,2002 Q1,0.6809760008016433,-0.015067551234813847
Emerging Asia,2002 Q1,0.990842898849793,-0.018278847873029802
Latin America,2002 Q1,1.0455632859849753,0.028938640308542984
ME/Africa,2002 Q1,1.142461700725854,-0.051554417403790964
North America,2002 Q1,1.1397275359108598,-0.01569413421814314
W. Europe,2002 Q1,1.3186135779577763,0.012786375846604914
Asia Pacific,2002 Q2,1.214927481256674,0.014996546902154462
Central and E. Europe,2002 Q2,0.698383847248964,0.025563083613560744
Emerging Asia,2002 Q2,1.011361979123412,0.020708712044501087
Latin America,2002 Q2,1.0927342245456122,0.04511533562141046
ME/Africa,2002 Q2,1.084253751721182,-0.05094958453984921
North America,2002 Q2,1.1387644656638765,-8.450004203975903e-4
W. Europe,2002 Q2,1.3225499676339196,0.002985248856787859
Asia Pacific,2002 Q3,1.2197988946613476,0.0040096330684979975
Central and E. Europe,2002 Q3,0.7059193418340812,0.01078990388280121
Emerging Asia,2002 Q3,1.0182511774840668,0.0068118027994545916
Latin America,2002 Q3,1.1566212533117783,0.05846529497392838
ME/Africa,2002 Q3,1.0545111905108873,-0.02743136573249616
North America,2002 Q3,1.1446543516044434,0.005172172225389238
W. Europe,2002 Q3,1.3110629845437962,-0.008685481358919112
Asia Pacific,2002 Q4,1.2240715840683107,0.00350278183204078
Central and E. Europe,2002 Q4,0.746120882317085,0.05694919815988353
Emerging Asia,2002 Q4,1.0065496463190988,-0.011491792421866487
Latin America,2002 Q4,1.0759878509636436,-0.06971461238262344
ME/Africa,2002 Q4,1.0557381134920247,0.0011634992517652876
North America,2002 Q4,1.1295663202662771,-0.013181299068157681
W. Europe,2002 Q4,1.3155520280686044,0.0034239724389519832
Asia Pacific,2003 Q1,1.245400494388486,0.017424561273848616
Central and E. Europe,2003 Q1,0.7393646362646797,-0.009055162792688032
Emerging Asia,2003 Q1,0.98261098438322525,-0.023782892402194
Latin America,2003 Q1,1.0890902352081675,0.012177074520673736
ME/Africa,2003 Q1,1.11359228366666,0.05479973625587253
North America,2003 Q1,1.1393179168322236,0.008633044727863082
W. Europe,2003 Q1,1.3002083695085953,-0.011663285246525379
Asia Pacific,2003 Q2,1.252718838070347,0.005876297395766228
Central and E. Europe,2003 Q2,0.7778366082935857,0.05203382761619357
Emerging Asia,2003 Q2,0.9953626736858552,0.012977352691242228
Latin America,2003 Q2,1.0568531397923893,-0.029600022453251107
ME/Africa,2003 Q2,1.083824921358755,-0.02673093442232899
North America,2003 Q2,1.1048129836744451,-0.03028560566634153
W. Europe,2003 Q2,1.3041850780430428,0.003058516333001693
Asia Pacific,2003 Q3,1.2638800257716816,0.00890957121593794
Central and E. Europe,2003 Q3,0.7896824397822937,0.015229202845949086
Emerging Asia,2003 Q3,0.9909959180362756,-0.004387100064149774
Latin America,2003 Q3,1.037079647606182,-0.018709782316672197
ME/Africa,2003 Q3,1.0856989610176635,0.001729098143046226
North America,2003 Q3,1.116629864206772,0.010695819751344482
W. Europe,2003 Q3,1.3147045660099397,0.008065947191085554
Asia Pacific,2003 Q4,1.258880456922539,-0.003955730565557536
Central and E. Europe,2003 Q4,0.8422115596421225,0.06651929587583383
Emerging Asia,2003 Q4,0.9794659047200396,-0.011634773772916773
Latin America,2003 Q4,0.9822890065512452,-0.052831661658201745
ME/Africa,2003 Q4,1.0628987180891247,-0.02100052016920717
North America,2003 Q4,1.120689418940771,0.0036355419679581225
W. Europe,2003 Q4,1.30972588665222,-0.0037869187393406722
Asia Pacific,2004 Q1,1.2490044883080889,-0.007845040853674767
Central and E. Europe,2004 Q1,0.858827104505754,0.019728469258593284
Emerging Asia,2004 Q1,0.9579644110830056,-0.021952263507508007
Latin America,2004 Q1,1.0106230899916506,0.028844956271967925
ME/Africa,2004 Q1,1.043020625213391,-0.018701775190274605
North America,2004 Q1,1.101607902089096,-0.01702658785670519
W. Europe,2004 Q1,1.332232526887864,0.017184237148410775
Asia Pacific,2004 Q2,1.257226000151055,0.006582451800555944
Central and E. Europe,2004 Q2,0.898748406222261,0.046483513977451096
Emerging Asia,2004 Q2,0.9616354504551636,0.0038321250034829557
Latin America,2004 Q2,1.202906110195309,0.19026185143389784
ME/Africa,2004 Q2,1.04061961671115,-0.00230197605320559
North America,2004 Q2,1.099162235574874,-0.0022200880273136603
W. Europe,2004 Q2,1.3278319814703856,-0.0033031361482805943
Asia Pacific,2004 Q3,1.250794518237353,-0.005115613193593771
Central and E. Europe,2004 Q3,0.9154055992235904,0.01853376638668558
Emerging Asia,2004 Q3,0.9694662241531457,0.008143183255437947
Latin America,2004 Q3,1.1467404874708913,-0.046691609800949774
ME/Africa,2004 Q3,1.0460836217299132,0.005250722676199304
North America,2004 Q3,1.1040402317568705,0.004437921922822552
W. Europe,2004 Q3,1.3670837101120663,0.02956076460684054
Asia Pacific,2004 Q4,1.2468869339958926,-0.003124081681271762
Central and E. Europe,2004 Q4,0.9390078612089996,0.025783392635382096
Emerging Asia,2004 Q4,0.9629767595869292,-0.006693853178727505
Latin America,2004 Q4,1.1159771038178794,-0.026826805183149838
ME/Africa,2004 Q4,1.088133306893417,0.04019725028670851
North America,2004 Q4,1.112419123134129,0.007589298955097856
W. Europe,2004 Q4,1.3488587067764493,-0.013331300198232254
Asia Pacific,2005 Q1,1.2546016544123215,0.006187185225933645
Central and E. Europe,2005 Q1,0.9402245390292112,0.0012957056809355105
Emerging Asia,2005 Q1,0.944256722372626,-0.019439760127059724
Latin America,2005 Q1,1.1123395627582633,-0.0032595122670274757
ME/Africa,2005 Q1,1.0686707028173612,-0.017886231358564708
North America,2005 Q1,1.0982679410026908,-0.012721088515242895
W. Europe,2005 Q1,1.3738537963321482,0.018530546920984214
Asia Pacific,2005 Q2,1.2613650220863477,0.00539084868112516
Central and E. Europe,2005 Q2,0.9552474908533464,0.015978046945728908
Emerging Asia,2005 Q2,0.945677269741604,0.0015044080018924433
Latin America,2005 Q2,1.09393577973494,-0.01654511233753786
ME/Africa,2005 Q2,1.0540863794242148,-0.01364716311086045
North America,2005 Q2,1.1053231851814074,0.006423973527148075
W. Europe,2005 Q2,1.3614625549160508,-0.009019330476924825
Asia Pacific,2005 Q3,1.2821932589932057,0.016512457965900396
Central and E. Europe,2005 Q3,0.9692793109388717,0.01468919857930251
Emerging Asia,2005 Q3,0.9672621046934972,0.02282473698219567
Latin America,2005 Q3,1.0560060185514992,-0.034672749430164185
ME/Africa,2005 Q3,1.0780806466249828,0.022763093868905404
North America,2005 Q3,1.115902860843415,0.009571567668031244
W. Europe,2005 Q3,1.3775338353205355,0.011804423372830497
