country,date,leverage,lev_growth
NO,2010 Q3,1.9885163565352384,0.028688293098320106
NZ,2010 Q3,1.6079787926911187,-0.026673643170947114
PL,2010 Q3,1.0475181777429967,-0.01222507057865263
PT,2010 Q3,1.8813860679406897,-0.04023715205253242
RO,2010 Q3,1.2378010588273205,-0.011765577393781923
RU,2010 Q3,1.1414827526413662,0.003012239606036582
SE,2010 Q3,2.210646661160564,-0.018622638634694155
SG,2010 Q3,0.8107475749714305,0.015807915335936618
SI,2010 Q3,1.6493482990031505,0.009775485509731618
SK,2010 Q3,0.9793595749880601,0.023497664304619748
TH,2010 Q3,0.9884268353492203,0.011580300846761316
TR,2010 Q3,0.8256537959968145,0.02697034267646159
US,2010 Q3,1.0343658509701452,-0.017439130365826117
ZA,2010 Q3,1.1935194813694912,-0.01141072394449072
AR,2010 Q4,0.6714465451821684,0.023921830586682624
AT,2010 Q4,1.3260996851315774,0.03980334125964613
AU,2010 Q4,1.4941468969513225,-0.03179016753041286
BE,2010 Q4,0.5907963512314723,0.00548752800402319
BG,2010 Q4,1.1907827323315274,-0.03506853714138192
BO,2010 Q4,0.8057392303404722,0.03193721481088274
BR,2010 Q4,1.0497439393686565,0.045698657245199614
BY,2010 Q4,1.6177426267981216,0.0014453358048995835
CA,2010 Q4,0.9564889499631133,0.01169750099410316
CH,2010 Q4,1.1630419134148333,0.00715705709950476
CL,2010 Q4,1.6798750689516806,3.556946083829171e-4
CN,2010 Q4,2.3497705184235675,-0.14749543801756104
CO,2010 Q4,1.6295152894286782,-0.11087147624073768
CR,2010 Q4,1.758401812659735,-0.07775383825592774
CY,2010 Q4,1.0356761002858452,0.020609683240289334
CZ,2010 Q4,0.7714274868990925,2.5352410549184246e-4
DE,2010 Q4,1.230065279913908,-0.02019164694366915
DK,2010 Q4,3.6345898119700775,-0.03787615187458426
EE,2010 Q4,1.628780718336484,-0.10724412638401293
ES,2010 Q4,1.7389112137498912,-0.021798219065830793
FI,2010 Q4,1.3734201739560576,-0.04726457192294542
FR,2010 Q4,1.2289616981668505,-6.660474160935514e-4
GB,2010 Q4,1.3781089843886867,-0.017121181813682274
GR,2010 Q4,1.1983745043933587,-1.989581265184892e-4
HR,2010 Q4,1.1800556821054253,0.015355149249946853
HU,2010 Q4,1.224347367532662,0.005233520051885376
ID,2010 Q4,0.7594473851592254,-0.010753717017575215
IE,2010 Q4,1.0321557219833544,-0.0909946963780397
IL,2010 Q4,1.0953709933383375,-0.02858497884604061
IS,2010 Q4,1.9302098201756688,0.019542060450394638
IT,2010 Q4,1.2851561969209029,6.845505843977584e-5
JP,2010 Q4,0.49480904088861,-0.0023786820065401226
KR,2010 Q4,1.1353970512831097,-0.015819584173902834
LT,2010 Q4,1.4229715850736049,-0.12094395146958248
LU,2010 Q4,0.39141923579323223,0.017315141153867952
LV,2010 Q4,2.0697674418604652,-0.12836973002776508
MT,2010 Q4,1.0885836484367795,-0.013584255021730218
MX,2010 Q4,0.7042425664984802,-0.0064338565310958495
MY,2010 Q4,0.891181937322327,0.0021917672896095697
NL,2010 Q4,1.1574300824600714,0.03375173048465019
NO,2010 Q4,1.9515870247645624,-0.03692933177067603
NZ,2010 Q4,1.5669797810902333,-0.04099901160088537
PL,2010 Q4,1.0252582652896398,-0.0222599124533569
PT,2010 Q4,1.8054250279852515,-0.07596103995543824
RO,2010 Q4,1.1975783068719794,-0.040222751955341085
RU,2010 Q4,1.0673263171487604,-0.07415643549260587
SE,2010 Q4,2.156270792282299,-0.05437586887826518
SG,2010 Q4,0.8145232236598503,0.0037756486884198415
SI,2010 Q4,1.6351013409411532,-0.014246958061997272
SK,2010 Q4,0.962451268575336,-0.016908306412724117
TH,2010 Q4,0.9951670806802942,0.00674024533107398
TR,2010 Q4,0.8495584464088883,0.02390465041207379
US,2010 Q4,1.0133353923417627,-0.021030458628382487
ZA,2010 Q4,1.1906390425114748,-0.0028804388580163653
AR,2011 Q1,0.6753244596191164,0.00387791443694796
AT,2011 Q1,1.3135099326982476,-0.012589752433329826
AU,2011 Q1,1.5034468367545208,0.00929993980319832
BE,2011 Q1,0.5907795788018694,-1.6772429602962546e-5
BG,2011 Q1,1.155523892234514,-0.03525884009701352
BO,2011 Q1,0.810211834601676,0.004472604261203772
BR,2011 Q1,1.0857097468657473,0.035965807497090774
BY,2011 Q1,1.7801705007230024,0.16242787392488078
CA,2011 Q1,0.9810756754239928,0.024586725460879477
CH,2011 Q1,1.1514620969163412,-0.011579816498492157
CL,2011 Q1,1.6619821662019159,-0.01789290274976474
CN,2011 Q1,2.449067139851344,0.09929662142777662
CO,2011 Q1,1.6513734651610736,0.021858175732395457
