"date","CL","RB","HO","NG","TG","LU","HG","AL","LD","TR","TH","ZC","KE","ZS","ZM","RS","KC","SB","SW","CC","CT","LE","GF","HE","LB","CU","XR","ZK"
2021-10-01,76.1900024414062,NA,NA,7.30999994277954,12.0600004196167,25.2399997711182,NA,40.0499992370605,50.2401008605957,28.1206150054932,4.1399998664856,NA,28.75,318.859985351562,274.649993896484,146.160003662109,22.9699993133545,4.46000003814697,NA,28.0200004577637,NA,26.2800006866455,19.8299999237061,40.560001373291,NA,NA,NA,NA
2021-11-01,75.0199966430664,NA,NA,6.75,11,25.5200004577637,NA,40.5900001525879,47.8600006103516,27.9429187774658,3.69000005722046,NA,21.2199993133545,346.970001220703,211.410003662109,148.630004882812,17.2800006866455,3.61999988555908,NA,29.7000007629395,NA,23.0100002288818,18.5799999237061,37.9900016784668,NA,NA,NA,NA
2021-12-01,85.3399963378906,NA,NA,6.8600001335144,11.8199996948242,22.5200004577637,NA,44.2299995422363,48.6650009155273,32.189884185791,3.55999994277954,NA,21.7600002288818,321.329986572266,183.910003662109,162.220001220703,15.75,3.76999998092651,NA,33.560001373291,NA,19.6299991607666,14.8100004196167,41.5,NA,NA,NA,NA
2022-01-01,82.4499969482422,NA,NA,6.59999990463257,11.75,19.8799991607666,NA,39.810001373291,46.939998626709,30.164134979248,3.30999994277954,NA,19.7900009155273,257.109985351562,154.279998779297,152.880004882812,8.44999980926514,3.49000000953674,NA,32.7099990844727,NA,18.3299999237061,13.4300003051758,42.5,NA,NA,NA,NA
2022-02-01,76.9499969482422,NA,NA,6.98000001907349,11.5100002288818,25.8799991607666,NA,41.7599983215332,51.2337989807129,29.9864387512207,3.15000009536743,NA,17.2399997711182,239.149993896484,132.600006103516,190.869995117188,6.73999977111816,4.17999982833862,NA,27.6000003814697,NA,16.9599990844727,12.0200004577637,40.9799995422363,NA,NA,NA,NA
2022-03-01,75.8300018310547,NA,NA,7.73000001907349,11.9899997711182,22.2800006866455,NA,44.6500015258789,51.2537994384766,31.9933528900146,6,NA,19.9899997711182,241.279998779297,117.230003356934,183.350006103516,6.07000017166138,4.76000022888184,NA,31.4799995422363,NA,16.9200000762939,11.4300003051758,42.310001373291,NA,NA,NA,NA
2022-04-01,77.0500030517578,NA,NA,6.21999979019165,11.4499998092651,22.2000007629395,NA,40.2799987792969,49.1279983520508,32.0574111938477,6.26000022888184,NA,17.8400001525879,202.740005493164,99.5699996948242,198.25,3.61999988555908,4.1100001335144,NA,33.0699996948242,NA,14.0200004577637,10.3000001907349,41.1100006103516,NA,NA,NA,NA
2022-05-01,78.8099975585938,NA,NA,5.59000015258789,12.1099996566772,25.1599998474121,NA,37.6100006103516,46.4728012084961,30.2637348175049,6.34999990463257,NA,19.0100002288818,153.089996337891,107.449996948242,194.399993896484,4.82000017166138,4.76000022888184,NA,43.0900001525879,NA,11.6000003814697,9.77999973297119,43.1699981689453,NA,NA,NA,NA
2022-06-01,80.1399993896484,NA,NA,4.80999994277954,10,24,NA,33.4300003051758,41.4411010742188,32.3502578735352,5.71000003814697,NA,20.1000003814697,149.509994506836,107.970001220703,169.860000610352,4.44999980926514,3.8199999332428,NA,32.0200004577637,NA,10.6199998855591,8.4399995803833,40.9000015258789,NA,NA,NA,NA
2022-07-01,78.7399978637695,NA,NA,4.88000011444092,10.4799995422363,18.3199996948242,NA,37.1100006103516,42.9000015258789,32.1397743225098,13.75,NA,22,155.059997558594,103.860000610352,190.25,3.27999997138977,3.85999989509583,NA,35.5900001525879,NA,12.75,8.44999980926514,42.2999992370605,NA,NA,NA,NA
2022-08-01,78.2099990844727,NA,NA,4.42999982833862,10.210000038147,17.4799995422363,NA,36.3600006103516,41.3241004943848,32.7895278930664,13.289999961853,NA,21.5400009155273,159.240005493164,80.4000015258789,187.979995727539,3.44000005722046,3.19000005722046,NA,33.7299995422363,NA,13.8199996948242,7.78999996185303,39.1199989318848,NA,NA,NA,NA
2022-09-01,70.25,NA,NA,4.69000005722046,9.4399995803833,10.1599998474121,NA,31.0100002288818,39.6349983215332,30.4559135437012,12.6199998855591,NA,17.1499996185303,164.369995117188,73.5899963378906,174.410003662109,1.99000000953674,2.47000002861023,NA,24.6499996185303,NA,7.71999979019165,6.96000003814697,34.6599998474121,NA,NA,NA,NA
2022-10-01,73.8399963378906,NA,NA,4.63000011444092,10.8900003433228,6.3600001335144,NA,35.2900009155273,42.0447006225586,36.9625701904297,12.1700000762939,NA,20.6700000762939,154.100006103516,83.4400024414062,201.479995727539,2.52999997138977,2.52999997138977,NA,28.6299991607666,NA,10.4799995422363,7.40999984741211,38.0400009155273,NA,NA,NA,NA
2022-11-01,77.4800033569336,NA,NA,5.76999998092651,10.3400001525879,7.44000005722046,NA,38.6199989318848,47.0299987792969,41.1356163024902,14.460000038147,NA,23.0900001525879,133.449996948242,75.4300003051758,211.289993286133,3.01999998092651,2.84999990463257,NA,31.0499992370605,NA,11.5600004196167,8.21000003814697,41.0800018310547,NA,NA,NA,NA
2022-12-01,78.7900009155273,NA,NA,5.98000001907349,10.2200002670288,7.76000022888184,NA,38.4199981689453,50.5648002624512,38.9575805664062,15.1400003433228,NA,22.5900001525879,111.900001525879,67.7399978637695,202.440002441406,3.82999992370605,2.91000008583069,NA,30.6200008392334,NA,7.59000015258789,7.8899998664856,41.8499984741211,NA,NA,NA,NA
2023-01-01,74.5299987792969,NA,NA,6.30999994277954,12.1300001144409,12.1999998092651,NA,44.9700012207031,46.8650016784668,40.9342842102051,15.3549995422363,NA,25.5200004577637,124.160003662109,75,227.449996948242,4.80000019073486,3.28999996185303,NA,36.3899993896484,NA,9.02999973297119,9.57999992370605,42.2700004577637,NA,NA,NA,NA
2023-02-01,73.3000030517578,NA,NA,5.59000015258789,11.6199998855591,8.64000034332275,NA,43.2799987792969,46.0200004577637,40.2936859130859,14.8299999237061,NA,25.0100002288818,131.149993896484,74.5899963378906,247.839996337891,3.84999990463257,3.75,NA,34.1800003051758,NA,7.59999990463257,9.19999980926514,40.4500007629395,NA,NA,NA,NA
