"date","MAR15","MANR24"
"2001-3",0.0266343005739072,0.711429786911671
"2001-4",0.37295723608318,1.04071108602807
"2001-5",0.401712132359061,1.09118215121158
"2001-6",0.183675573379265,0.93836941164172
"2001-7",0.126475714381307,0.876444955121621
"2001-8",0.00662794771249221,0.714497455163026
"2001-9",-0.765428158788098,-0.102854062013227
"2001-10",-0.607176771752446,0.0955776454901906
"2001-11",-0.268759892761588,0.539971539384885
"2001-12",-0.131894068800508,0.669466255425828
"2002-1",-0.151758115895155,0.67373267512652
"2002-2",-0.0742742358802896,0.685613770019961
"2002-3",0.194151127315343,0.939860153302687
"2002-4",0.130109119840394,0.814708066235661
"2002-5",0.132998152779339,0.794867811195559
"2002-6",-0.139083100712452,0.483832328933916
"2002-7",-0.792631625414365,0.00495781568532225
"2002-8",-0.820531563368376,-0.0546166889903651
"2002-9",-1.40910577382612,-0.561764459006746
"2002-10",-1.2265003661526,-0.364873063266509
"2002-11",-0.923471877811676,0.0233666838581808
"2002-12",-1.10157859752197,-0.275127750865173
"2003-1",-1.31585433960876,-0.417234489952211
"2003-2",-1.46918073642802,-0.504359233599877
"2003-3",-1.5242752097408,-0.617814833517049
"2003-4",-1.12690234991796,-0.285343347784443
"2003-5",-0.759779097317632,0.0300838379854462
"2003-6",-0.740847629083157,0.103441223456236
"2003-7",-0.596918964715249,0.33823287865065
"2003-8",-0.421867612560306,0.541688958528807
"2003-9",-0.503225181331771,0.440487202881807
"2003-10",-0.156110805199463,0.816425270972499
"2003-11",-0.0648281610913846,0.865024828956927
"2003-12",0.280283147738134,1.08271654136621
"2004-1",0.237714924049146,1.11450253213356
"2004-2",0.372488560952553,1.18827124475485
"2004-3",0.30740335137309,1.19418420972231
"2004-4",0.168078374130469,0.973109637031291
"2004-5",0.232649698543046,1.02840519471373
"2004-6",0.364019617296534,1.14899458876268
"2004-7",0.178631812097479,0.9906801428265
"2004-8",0.134804912172518,0.965050445995271
"2004-9",0.30771956187927,1.14747219889291
"2004-10",0.370666459398782,1.2335139475753
"2004-11",0.719728261513497,1.4864737393317
"2004-12",0.849632104776806,1.61712245658278
"2005-1",0.696380130815661,1.4271007838213
"2005-2",0.923133695897068,1.60347117707662
"2005-3",0.772672152471152,1.43842329918393
"2005-4",0.509386309450191,1.20687840632872
"2005-5",0.595612118073663,1.33122481832146
"2005-6",0.625463961286235,1.36386158959361
"2005-7",0.873759028655278,1.58662472213736
"2005-8",0.843510821335988,1.53650081514281
"2005-9",0.906456644513279,1.61497164876749
"2005-10",0.65911628822989,1.46035249501349
"2005-11",0.833232436777879,1.6996267854205
"2005-12",0.882283964180753,1.7512488537248
"2006-1",1.17773965173249,1.9999866013014
"2006-2",1.10852910141608,1.99925583845677
"2006-3",1.2306996218272,2.11651829913499
"2006-4",1.40888439749536,2.24067832508367
"2006-5",1.20543663322994,1.98363495950111
"2006-6",1.13603737575584,1.89836627838658
"2006-7",1.0518874235225,1.77457787573893
"2006-8",1.13086764844231,1.84578155537347
"2006-9",1.14277501440691,1.90109119604178
"2006-10",1.3422465875337,2.06626914550548
"2006-11",1.50211827590622,2.1796838505863
"2006-12",1.51991169152364,2.21471456941779
"2007-1",1.553252902698,2.2898695782028
"2007-2",1.51259166414596,2.22368506173952
"2007-3",1.62672046917794,2.24016890781899
"2007-4",1.86266465483641,2.41363664151762
"2007-5",2.04830465941327,2.59215791027358
"2007-6",2.00219405120436,2.52737720452184
"2007-7",1.86948516671122,2.41509138911885
"2007-8",1.78428894037705,2.33165527082671
"2007-9",1.9922027225632,2.48590825532443
"2007-10",2.11633243635991,2.56733550854951
"2007-11",1.78513324762758,2.15021894197673
"2007-12",1.73496176157623,2.05546050365461
"2008-1",1.26336931971025,1.70173250370877
"2008-2",1.32235750786907,1.69416876618319
"2008-3",1.27245900648714,1.5976431230291
"2008-4",1.51254706060336,1.86024072705922
"2008-5",1.65404661489898,1.92446753438708
"2008-6",1.14399627497358,1.37348293355705
"2008-7",0.890557218363043,1.26540341020758
"2008-8",0.817789607539979,1.19842489068537
"2008-9",-0.0909848261578416,0.425188526742152
"2008-10",-1.73741727766134,-1.07059504648541
"2008-11",-2.33843107974757,-1.73493932162149
"2008-12",-2.18013819876003,-1.66948169818799
"2009-1",-2.76211200426314,-2.27592247735922
"2009-2",-3.4249284556746,-2.918722153311
"2009-3",-2.95883707959829,-2.41819473550405
"2009-4",-2.08751164667914,-1.40938023572211
"2009-5",-1.64735859507204,-1.06849718529656
"2009-6",-1.79374275514884,-1.17078407243027
"2009-7",-1.25439133223599,-0.662454805658247
"2009-8",-1.07297721237938,-0.425694173428195
"2009-9",-0.835966704564917,-0.238498543778692
"2009-10",-0.955941979096267,-0.37928108430078
"2009-11",-0.726078002287033,-0.22175530343358
"2009-12",-0.539138165164028,-0.0551287708421814
"2010-1",-0.855478812544327,-0.308351101004166
"2010-2",-0.78322401831249,-0.205054611117316
"2010-3",-0.437590738410234,0.149882081631928
"2010-4",-0.391427120211161,0.295627631542638
"2010-5",-1.0465206465644,-0.229561149065614
"2010-6",-1.39712639763872,-0.556222260445988
"2010-7",-0.915333977472695,-0.132320252143645
"2010-8",-1.24559858706498,-0.455532703888865
"2010-9",-0.616082549640982,0.0473505909937576
"2010-10",-0.418805262031245,0.199306571666718
"2010-11",-0.524063001279408,0.223438601884169
"2010-12",-0.0872515723962872,0.616855874282068
